Tipo,Numero,Data,Nivel,Ementa
Resolução SEMAD,"136,00",13/02/2009,Estadual,"Estabelece critérios de aceitação de Certidões para instrução dos processos de regularização ambiental, e dá outras providências."
Resolução SEMAD,"891,00",27/07/2009,Estadual,"Divulga pontuação parcial do Fator de Qualidade referente às Unidades de Conservação da Natureza e outras Áreas Especialmente Protegidas., conforme estabelecido na Deliberação Normativa COPAM nº 86, de 17 de julho de 2005, e dá outras providências."
Resolução Conjunta SEMAD/FEAM/SEPLAG,"1 004,00",27/07/2009,Estadual,"Institui e disciplina a Comissão Especial de Licitação para contratação de serviços de consultoria técnica especializada para o Projeto de Criação de Instrumentos que promovam Desenvolvimento Sustentável para o Estado de Minas Gerais, tendo como gestora a própria Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável."
Deliberação Normativa CERH-MG,"1 003,00",08/07/2009,Estadual,Estabelece os procedimentos técnicos e administrativos para análise e emissão da declaração de reserva de disponibilidade hídrica e de outorga de direito de uso de recursos hídricos para fins de aproveitamento de potenciais hidrelétricos em corpo de água de domínio do Estado de Minas Gerais e dá outras providências.
Lei,"28,00",01/09/2009,Estadual,"Altera a Lei nº 14.309, de 19 de junho de 2002, que dispõe sobre as políticas florestal e de proteção à biodiversidade no Estado, e o art. 7º da Lei Delegada nº 125, de 25 de janeiro de 2007, que dispõe sobre a estrutura orgânica básica da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável - SEMAD, e dá outras providências."
Decreto Estadual,18.365,25/09/2009,Estadual,"Regulamenta a Lei nº 18.031, de 12 de janeiro de 2009, e dá outras providências."
Portaria IEF,45.181,26/02/2009,Estadual,Institui a Guia de Controle Ambiental Eletrônica.
Resolução Conjunta SEMAD/IGAM,"17,00",30/10/2009,Estadual,"Estabelece procedimentos e normas para a aquisição e alienação de bens, para a contratação de obras, serviços e seleção de pessoal, bem como estabelece a forma de repasse, utilização e prestação de contas com emprego de recursos públicos oriundos da Cobrança pelo Uso de Recursos Hídricos, no âmbito das Entidades Equiparadas à Agência de Bacia Hidrográfica do Estado de Minas Gerais, e dá outras providências."
Portaria IGAM,1.044,01/07/2010,Estadual,Estabelece os procedimentos para a regularização do uso de recursos hídricos do domínio do Estado de Minas Gerais.
Resolução Conjunta SEMAD/IGAM,"49,00",29/06/2010,Estadual,"Disciplina os procedimentos relativos à solicitação, ao enquadramento, à aprovação, à forma, aos prazos e à periodicidade dos pedidos de liberação de recursos financeiros relacionados ao Fundo de Recuperação, Proteção e Desenvolvimento Sustentável das Bacias Hidrográficas do Estado de Minas Gerais - FHIDRO, bem como os procedimentos da sua Secretaria Executiva e dá outras providências."
Deliberação COPAM,1.162,28/06/2010,Estadual,"Fixa os custos médios ""per capita"" para estimativa de investimentos em sistemas de saneamento ambiental previstos no Art. 4º da Lei nº 18.030, de 12 de janeiro de 2009."
Decreto Estadual,"428,00",03/12/2009,Estadual,"Dispõe sobre a Comissão Estadual de Prevenção, Preparação e Resposta Rápida a Emergências Ambientais com Produtos Perigosos - P2R2 Minas."
Resolução SEMAD,45.231,03/09/2010,Estadual,Dispõe sobre o trâmite de recursos a serem encaminhados para julgamento na Câmara Normativa e Recursal - CNR do Conselho Estadual de Política Ambiental - COPAM e dá outras providências.
Deliberação Normativa Conjunta COPAM - CERH,1.204,08/09/2010,Estadual,"Institui o Programa Estadual de Gestão de Áreas Contaminadas, que estabelece as diretrizes e procedimentos para a proteção da qualidade do solo e gerenciamento ambiental de áreas contaminadas por substâncias químicas."
Resolução SEMAD,"2,00",25/11/2010,Estadual,Estabelece procedimentos para o cancelamento dos Autos de Infração lavrados contra empresas pela Fundação Estadual de Meio Ambiente por descumprimento da deliberação Normativa de nº 90/2005 alterada pela Deliberação Normativa de nº 136/2009.
Resolução SEMAD,1.238,27/12/2010,Estadual,"Revoga a Resolução SEMAD nº 1.238, de 25 de novembro de 2010."
Deliberação Normativa COPAM,1.249,27/12/2010,Estadual,"Prorroga o prazo para apresentação do inventário de resíduos sólidos industriais, ano-base 2009, a que se refere a Deliberação Normativa nº 90, de 15 de setembro de 2005 e seguintes e dá outras providências."
Resolução SEMAD,"162,00",22/12/2010,Estadual,"Designa Comissão Setorial do Sistema Estadual de Meio Ambiente – SISEMA, responsável pela implementação do Programa Ambientação – Educação Ambiental em Prédios Públicos de Minas Gerais – na Cidade Administrativa do Governo de Minas Gerais – CAMG."
Resolução SEMAD,1.246,22/12/2010,Estadual,"Altera a Resolução SEMAD nº 318, de 15 de fevereiro de 2005 e dá outras providências."
Resolução SEMAD,1.245,29/12/2010,Estadual,Altera membros do Comitê da Bacia Hidrográfica do Rio Caratinga e dá outras providências.
Resolução SEMAD,1.256,29/11/2010,Estadual,Altera membros do Comitê da Bacia Hidrográfica do Rio Verde e dá outras providências.
Resolução SEMAD,1.255,29/12/2010,Estadual,Altera membros do Comitê da Bacia Hidrográfica do Rio Piracicaba e dá outras providências.
Resolução SEMAD,1.258,29/12/2010,Estadual,Altera membros do Comitê da Bacia Hidrográfica do Rio Sapucaí e dá outras providências.
Resolução SEMAD,1.257,29/12/2010,Estadual,Altera membros do Comitê da Bacia Hidrográfica do Rio Suaçuí e dá outras providências.
Resolução SEMAD,1.254,17/01/2011,Estadual,Altera membros do Comitê da Bacia Hidrográfica do Rio das Velhas e dá outras providências.
Resolução SEMAD,1.260,19/01/2011,Estadual,"Divulga pontuação final do Fator de Qualidade referente às Unidades de Conservação da Natureza e outras Áreas Especialmente Protegidas, conforme estabelecido na Deliberação Normativa COPAM nº 86, de 17 de julho de 2005, e dá outras providências."
Deliberação Normativa COPAM,1.262,29/06/2011,Estadual,"Revisa e consolida as exigências para laboratórios que emitem relatórios de ensaios ou certificados de calibração referentes a medições ambientais, revoga as Deliberações Normativas COPAM nº 89, de 15 de setembro de 2005, nº 120, de 8 de agosto de 2008, nº 140, de 28 de outubro de 2009, nº 158, de 6 de outubro 2010 e os art. 1º e 2º da Deliberação Normativa COPAM nº 165, de 11 de abril de 2011."
Resolução SEMAD,"167,00",29/09/2011,Estadual,"Designa membros para o Grupo Coordenador do Fundo de Recuperação, Proteção e Desenvolvimento Sustentável das Bacias Hidrográficas do Estado de Minas Gerais – FHIDRO, e dá outras providências."
Portaria IEF,1.414,29/09/2011,Estadual,Estabelece os procedimentos necessários para a prestação de serviços de condução de visitantes no Parque Estadual do Ibitipoca sob a administração do Instituto Estadual de Florestas do Estado de Minas Gerais.
Decreto Estadual,"149,00",20/12/2011,Estadual,Contém o Estatuto da Fundação Estadual do Meio Ambiente - FEAM.
Deliberação Normativa COPAM,45.825,22/12/2011,Estadual,"Estabelece diretrizes para sistemas de tratamento e disposição final adequada dos resíduos de serviços de saúde no Estado de Minas Gerais, altera o anexo da Deliberação Normativa COPAM nº 74, de 09 de setembro de 2004, e dá outras providências."
Decreto Estadual,"171,00",22/12/2011,Estadual,Estabelece o Regulamento do Instituto Estadual de Florestas - IEF.
Resolução SEMAD,45.834,31/01/2012,Estadual,Institui Comissão de Ética no âmbito da Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável- SEMAD.
Lei,1.503,04/01/2012,Estadual,Dispõe sobre a declaração de Áreas de Vulnerabilidade Ambiental e dá outras providências.
Decreto Estadual,20.009,23/03/2012,Estadual,"Estabelece o Regulamento da Taxa de Controle, Monitoramento e Fiscalização das Atividades de Pesquisa, Lavra, Exploração e Aproveitamento de Recursos Minerários – TFRM – e dispõe sobre o Cadastro Estadual de Controle, Monitoramento e Fiscalização das Atividades de Pesquisa, Lavra, Exploração e Aproveitamento de Recursos Minerários – CERM."
Resolução Conjunta SEMAD/IGAM,45.936,29/03/2012,Estadual,Dispõe sobre a vazão de referência para o cálculo da disponibilidade hídrica superficial nas bacias hidrográficas do Estado.
Resolução SEMAD,1.548,26/04/2012,Estadual,Institui o Cadastro de Entidades Ambientalistas - CEEA e dá outras providências.
