Tipo,Numero,Data,Nivel,Ementa
Decreto Estadual,"114,00",25/06/2008,Estadual,"Estabelece normas para licenciamento ambiental e autorização ambiental de funcionamento, tipifica e classifica infrações às normas de proteção ao meio ambiente e aos recursos hídricos e estabelece procedimentos administrativos de fiscalização e aplicação das penalidades."
Deliberação Normativa COPAM,44.844,27/06/2008,Estadual,"Altera os artigos 2º, 3º e 4º da Deliberação Normativa 52/2001, estabelece novas diretrizes para adequação da disposição final de resíduos sólidos urbanos no Estado, e dá outras providências."
Deliberação Normativa COPAM,"118,00",27/06/2008,Estadual,Dispõe sobre a declaração de informações relativas às diversas fases de gerenciamento dos resíduos sólidos gerados pelas atividades minerárias no Estado de Minas Gerais.
Resolução SEMAD,"117,00",09/05/2008,Estadual,"Delega competência para assinatura de contratos e outros, no âmbito das Superintendências Regionais de Meio Ambiente e Desenvolvimento Sustentável (SUPRAM), e dá outras providências."
Resolução SEMAD,"749,00",13/05/2008,Estadual,"Institui a implantação de sistema de prevenção e combate a incêndios na vegetação natural das áreas diretamente afetadas pelos empreendimentos, e dá outras providências."
Deliberação Normativa COPAM,"711,00",27/11/2008,Estadual,Estabelece diretrizes e procedimentos para avaliação ambiental da fase de fechamento de mina.
Deliberação Normativa CERH-MG,"127,00",18/12/2008,Estadual,Dispõe sobre procedimentos gerais de natureza técnica e administrativa a serem observados no exame de pedidos de outorga para o lançamento de efluentes em corpos de água superficiais no domínio do Estado de Minas Gerais.
Resolução SEMAD,"26,00",13/02/2009,Estadual,Regulamenta o §2º do artigo 5º do Decreto 44.844 de 25 de junho de 2008 e estabelece procedimentos sobre Certidão de Dispensa e dá outras providências.
Decreto Estadual,"892,00",05/06/2009,Estadual,"Estabelece normas para a concessão de incentivo financeiro a proprietários e posseiros rurais, sob a denominação de Bolsa Verde, de que trata a Lei nº 17.727, de 13 de agosto de 2008."
Deliberação Normativa COPAM,45.113,22/05/2009,Estadual,"Altera e complementa a Deliberação Normativa COPAM nº. 90, de 15 de setembro de 2005, que dispõe sobre a declaração de informações relativas às diversas fases de gerenciamento dos resíduos sólidos industriais no Estado de Minas Gerais."
